team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
NOP,WAS,110.15,108.37,0.5479,-1.8
NOP,CHI,109.59,114.42,0.3735,4.8
NOP,MEM,108.5,111.63,0.4165,3.1
NOP,MIA,108.27,113.43,0.3645,5.2
NOP,ORL,105.76,108.44,0.4274,2.7
NOP,MIL,108.34,113.83,0.3563,5.5
NOP,LAL,104.79,110.3,0.3534,5.5
NOP,DET,108.46,111.37,0.4222,2.9
NOP,LAC,105.2,112.13,0.3192,6.9
NOP,HOU,104.69,112.33,0.3021,7.6
NOP,CLE,104.69,113.72,0.2706,9.0
NOP,GSW,104.59,107.03,0.4333,2.4
NOP,BOS,103.77,110.39,0.3255,6.6
NOP,DEN,106.51,110.3,0.3983,3.8
NOP,MIN,104.55,110.13,0.3517,5.6
NOP,NYK,105.9,110.3,0.3823,4.4
NOP,OKC,104.6,112.34,0.2997,7.7
NOP,IND,106.29,113.21,0.3201,6.9
CHI,UTA,118.39,112.18,0.6588,-6.2
CHI,TOR,113.39,112.35,0.5277,-1.0
CHI,PHX,118.89,111.6,0.6845,-7.3
CHI,PHI,116.44,112.12,0.6124,-4.3
CHI,POR,116.46,113.03,0.5897,-3.4
CHI,SAS,117.86,111.6,0.6602,-6.3
CHI,BKN,116.44,111.96,0.6166,-4.5
CHI,DAL,114.78,111.82,0.5781,-3.0
CHI,SAC,113.66,114.47,0.4785,0.8
CHI,ATL,119.17,115.85,0.5857,-3.3
CHI,CHA,118.31,109.84,0.7124,-8.5
CHI,WAS,118.51,109.84,0.717,-8.7
CHI,NOP,118.06,111.6,0.6651,-6.5
CHI,MEM,116.46,113.03,0.5897,-3.4
CHI,MIA,114.96,114.85,0.5029,-0.1
CHI,ORL,111.47,111.34,0.5035,-0.1
CHI,MIL,116.57,115.26,0.5343,-1.3
CHI,LAL,111.85,112.35,0.4869,0.5
CHI,DET,115.16,112.77,0.563,-2.4
CHI,LAC,110.88,114.21,0.4122,3.3
CHI,HOU,111.92,114.41,0.4342,2.5
CHI,CLE,111.79,115.83,0.3945,4.0
CHI,GSW,111.31,109.84,0.5393,-1.5
CHI,BOS,109.74,112.44,0.4282,2.7
CHI,DEN,112.61,112.35,0.507,-0.3
CHI,MIN,111.45,112.18,0.4806,0.7
CHI,NYK,111.98,112.35,0.4903,0.4
CHI,OKC,111.65,114.42,0.427,2.8
CHI,IND,113.97,114.72,0.48,0.8
MEM,UTA,113.8,109.87,0.6035,-3.9
MEM,TOR,108.88,109.5,0.4833,0.6
